city,lat,lng,country,capital,population,log_airport,lat_airport,source_airport
Trofa,41.3374,-8.5596,Portugal,minor,38999.0,-9.1354,38.7756,Humberto Delgado Airport
Mafamude,41.1152,-8.6036,Portugal,,38940.0,-9.1354,38.7756,Humberto Delgado Airport
Ermezinde,41.2133,-8.5472,Portugal,,38798.0,-9.1354,38.7756,Humberto Delgado Airport
Silves,37.1833,-8.4333,Portugal,minor,37126.0,-9.1354,38.7756,Humberto Delgado Airport
Torres Novas,39.4833,-8.5333,Portugal,minor,36717.0,-9.1354,38.7756,Humberto Delgado Airport
Beja,38.0333,-7.8833,Portugal,admin,35854.0,-9.1354,38.7756,Humberto Delgado Airport
Agualva,38.77,-9.2988,Portugal,,35824.0,-9.1354,38.7756,Humberto Delgado Airport
Câmara de Lobos,32.65,-16.9667,Portugal,,35666.0,-9.1354,38.7756,Humberto Delgado Airport
Angra do Heroísmo,38.6558,-27.2153,Portugal,,35402.0,-9.1354,38.7756,Humberto Delgado Airport
Bragança,41.8,-6.75,Portugal,admin,35341.0,-9.1354,38.7756,Humberto Delgado Airport
Esposende,41.5333,-8.7833,Portugal,minor,34254.0,-9.1354,38.7756,Humberto Delgado Airport
Ribeira Grande,37.8167,-25.5167,Portugal,,32112.0,-9.1354,38.7756,Humberto Delgado Airport
Espinho,41.01,-8.64,Portugal,minor,31786.0,-9.1354,38.7756,Humberto Delgado Airport
Lagos,37.1,-8.6667,Portugal,minor,31049.0,-9.1354,38.7756,Humberto Delgado Airport
Anadia,40.4333,-8.4333,Portugal,minor,29150.0,-9.1354,38.7756,Humberto Delgado Airport
Benavente,38.9833,-8.8167,Portugal,minor,29019.0,-9.1354,38.7756,Humberto Delgado Airport
Massamá,38.7568,-9.2748,Portugal,,28112.0,-9.1354,38.7756,Humberto Delgado Airport
Estarreja,40.75,-8.5667,Portugal,minor,26997.0,-9.1354,38.7756,Humberto Delgado Airport
Lamego,41.0833,-7.8667,Portugal,minor,26691.0,-9.1354,38.7756,Humberto Delgado Airport
Estoril,38.7057,-9.3977,Portugal,,26399.0,-9.1354,38.7756,Humberto Delgado Airport
Montemor-o-Velho,40.1667,-8.6833,Portugal,minor,26171.0,-9.1354,38.7756,Humberto Delgado Airport
Tavira,37.1309,-7.6506,Portugal,minor,26167.0,-9.1354,38.7756,Humberto Delgado Airport
Odemira,37.5833,-8.6333,Portugal,minor,26066.0,-9.1354,38.7756,Humberto Delgado Airport
Albergaria-a-Velha,40.6936,-8.4806,Portugal,minor,25252.0,-9.1354,38.7756,Humberto Delgado Airport
Portalegre,39.3167,-7.4167,Portugal,admin,24930.0,-9.1354,38.7756,Humberto Delgado Airport
Porto de Mós,39.6,-8.8167,Portugal,minor,24342.0,-9.1354,38.7756,Humberto Delgado Airport
Mirandela,41.4833,-7.1833,Portugal,minor,23850.0,-9.1354,38.7756,Humberto Delgado Airport
Vizela,41.3833,-8.3,Portugal,,23736.0,-9.1354,38.7756,Humberto Delgado Airport
Caniço,32.6412,-16.8504,Portugal,,23361.0,-9.1354,38.7756,Humberto Delgado Airport
